type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop,mae,mfe
long,sh603787,2024-06-13 16:00:00,2024-06-16 16:00:00,11.05,11.29,70713,16971.12,2.17,-201644.84,1,16971.12,,-0.26,0.26
long,sh603787,2024-06-23 16:00:00,2024-06-24 16:00:00,10.57,10.57,71700,0.0,0.0,-201644.84,1,0.0,,-0.24,0.24
long,sh603787,2024-06-26 16:00:00,2024-06-27 16:00:00,10.72,10.62,73900,-7390.0,-0.93,-209034.84,1,-7390.0,,-0.12,0.11
long,sh603787,2024-07-01 16:00:00,2024-07-02 16:00:00,10.51,10.11,74900,-29960.0,-3.81,-238994.84,1,-29960.0,,-0.4,0.11
long,sh603787,2024-07-11 16:00:00,2024-07-14 16:00:00,9.59,9.47,79354,-9522.48,-1.25,-248517.32,1,-9522.48,,-0.12,0.08
long,sh603787,2024-08-07 16:00:00,2024-08-08 16:00:00,9.41,9.44,78900,2367.0,0.32,-246150.32,1,2367.0,,-0.13,0.13
long,sh603787,2024-08-26 16:00:00,2024-08-27 16:00:00,9.25,9.26,81497,814.97,0.11,-245335.35,1,814.97,,-0.13,0.13
long,sh603787,2024-09-24 16:00:00,2024-09-25 16:00:00,10.12,10.06,74571,-4474.26,-0.59,-249809.61,1,-4474.26,,-0.15,0.16
long,sh603787,2024-10-22 16:00:00,2024-10-28 16:00:00,10.93,11.1,68635,11667.95,1.56,-238141.66,4,2916.99,,-0.2,0.32
long,sh603787,2024-11-07 16:00:00,2024-11-10 16:00:00,10.92,11.0,69767,5581.36,0.73,-232560.3,1,5581.36,,-0.16,0.16
long,sh603787,2024-11-20 16:00:00,2024-11-21 16:00:00,11.14,10.96,68890,-12400.2,-1.62,-244960.5,1,-12400.2,,-0.18,0.11
long,sh603787,2024-12-01 16:00:00,2024-12-02 16:00:00,11.14,11.21,67777,4744.39,0.63,-240216.11,1,4744.39,,-0.12,0.11
long,sh603787,2025-01-08 16:00:00,2025-01-09 16:00:00,10.12,9.94,75077,-13513.86,-1.78,-253729.97,1,-13513.86,,-0.18,0.1
long,sh603787,2025-01-13 16:00:00,2025-01-14 16:00:00,10.02,10.2,74478,13406.04,1.8,-240323.93,1,13406.04,,-0.2,0.2
long,sh603787,2025-01-26 16:00:00,2025-02-04 16:00:00,10.22,10.14,74332,-5946.56,-0.78,-246270.49,1,-5946.56,,-0.12,0.12
long,sh603787,2025-02-17 16:00:00,2025-02-18 16:00:00,10.34,10.32,71800,-1436.0,-0.19,-247706.49,1,-1436.0,,-0.19,0.19
long,sh603787,2025-02-19 16:00:00,2025-02-20 16:00:00,10.4,10.38,71800,-1436.0,-0.19,-249142.49,1,-1436.0,,-0.09,0.09
long,sh603787,2025-02-26 16:00:00,2025-03-25 16:00:00,10.46,11.12,71600,47256.0,6.31,-201886.49,19,2487.16,,-0.33,1.98
long,sh603787,2025-04-14 16:00:00,2025-04-15 16:00:00,9.83,9.68,81191,-12178.65,-1.53,-214065.14,1,-12178.65,,-0.15,0.1
long,sh603787,2025-05-20 16:00:00,2025-06-08 16:00:00,11.61,11.6,67100,-671.0,-0.09,-214736.14,12,-55.92,,-0.28,0.21
long,sh603787,2025-06-10 16:00:00,2025-06-16 16:00:00,14.05,12.46,55890,-88865.1,-11.32,-303601.24,4,-22216.28,,-1.59,2.15
long,sh603787,2025-06-29 16:00:00,2025-06-30 16:00:00,12.27,12.24,56700,-1701.0,-0.24,-305302.24,1,-1701.0,,-0.09,0.1
long,sh603787,2025-07-14 16:00:00,2025-07-17 16:00:00,12.64,12.49,54600,-8190.0,-1.19,-313492.24,3,-2730.0,,-0.19,0.2
long,sh603787,2025-07-27 16:00:00,2025-07-28 16:00:00,12.82,12.66,53549,-8567.84,-1.25,-322060.08,1,-8567.84,,-0.3,0.3
long,sh603787,2025-08-04 16:00:00,2025-08-05 16:00:00,12.78,12.87,53046,4774.14,0.7,-317285.94,1,4774.14,,-0.11,0.1
long,sh603787,2025-08-19 16:00:00,2025-08-28 16:00:00,13.52,12.91,50496,-30802.56,-4.51,-348088.5,7,-4400.37,,-1.09,0.47
long,sh603787,2025-09-08 16:00:00,2025-09-09 16:00:00,12.94,13.18,50379,12090.96,1.85,-335997.54,1,12090.96,,-0.1,0.24
long,sh603787,2025-09-29 16:00:00,2025-10-08 16:00:00,12.2,12.06,54200,-7588.0,-1.15,-343585.54,1,-7588.0,,-0.14,0.09
long,sh603787,2025-10-12 16:00:00,2025-10-13 16:00:00,11.92,12.16,53800,12912.0,2.01,-330673.54,1,12912.0,,-0.22,0.24
long,sh603787,2025-11-17 16:00:00,2025-11-23 16:00:00,14.54,13.62,45500,-41860.0,-6.33,-372533.54,4,-10465.0,,-1.13,0.37
long,sh603787,2025-11-30 16:00:00,2025-12-01 16:00:00,14.4,14.14,43574,-11329.24,-1.81,-383862.78,1,-11329.24,,-0.26,0.19
long,sh603787,2025-12-09 16:00:00,2025-12-10 16:00:00,14.22,14.05,42700,-7259.0,-1.2,-391121.78,1,-7259.0,,-0.2,0.19
long,sh603787,2025-12-21 16:00:00,2025-12-22 16:00:00,13.23,13.02,45900,-9639.0,-1.59,-400760.78,1,-9639.0,,-0.21,0.16
long,sh603787,2025-12-24 16:00:00,2025-12-25 16:00:00,13.11,13.1,45400,-454.0,-0.08,-401214.78,1,-454.0,,-0.1,0.1
long,sh603787,2026-01-12 16:00:00,2026-01-28 16:00:00,13.66,12.92,43400,-32116.0,-5.42,-433330.78,12,-2676.33,,-0.92,0.64
long,sh603787,2026-02-04 16:00:00,2026-02-05 16:00:00,13.32,13.32,42542,0.0,0.0,-433330.78,1,0.0,,-0.16,0.15
long,sh603787,2026-03-08 16:00:00,2026-03-09 16:00:00,13.45,13.71,41600,10816.0,1.93,-422514.78,1,10816.0,,-0.18,0.26
